Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
"BRCD 320, 854 307-2",Tricky,Black Steel,"4th & Broadway, 4th & Broadway","CD, Single",5,1995,77192,NO RAP,2009-08-20 00:00:00,
"BRCD 340, 854767-2",Tricky,Christiansands,"4th & Broadway, 4th & Broadway","CD, Single, Dig",4,1996,15410,NO RAP,2009-08-20 00:00:00,
"BRCD 593, 524 056-2",Drizabone,Conspiracy,"4th & Broadway, 4th & Broadway","CD, Album",5,1994,216666,NO RAP,2013-09-22 06:15:11,
"BRCD 621, 524 265-2",Alex Reece,So Far,"4th & Broadway, 4th & Broadway","CD, Album",4,1996,3453,NO RAP,2009-11-12 13:39:24,
"BRCDX 341, 854 874-2",Tricky,Tricky Kid,"4th & Broadway, 4th & Broadway","CD, Single, CD2",5,1996,67622,NO RAP,2009-08-20 00:00:00,
"BRCDX 348, 854 936-2",Tricky,Makes Me Wanna Die,"4th & Broadway, 4th & Broadway","CD, Single, CD2",5,1997,38468,NO RAP,2009-08-20 00:00:00,
"IMCD 232, BRCD 581, 510 656-2",Ice Cube,Death Certificate,"4th & Broadway, 4th & Broadway, Priority Records","CD, Album",5,1991,1078048,RAP,2012-08-01 06:14:22,
162-444 040-2,Stereo MC's,Supernatural American Mix,"4th & Broadway, Gee Street","CD, Album",,1991,4450081,NO RAP,2014-08-26 09:55:51,
664 886,Drizabone,Catch The Fire,"4th & Broadway, Island Records","CD, Single",4,1991,1652703,NO RAP,2013-10-15 23:57:07,
"BRCD 144, 875 179-2",N.W.A.,Express Yourself / Straight Outta Compton,"4th & Broadway, Island Records","CD, Maxi",4,1989,154596,RAP,2009-12-01 16:21:06,
"BRCD 179, 875 683-2",Boo-Yaa T.R.I.B.E.,Psyko Funk,"4th & Broadway, Island Records","CD, Single",4,1990,1616418,RAP,2009-12-01 16:20:09,
"BRCD 183, 875 873-2",Dream Warriors,Wash Your Face In My Sink,"4th & Broadway, Island Records","CD, Maxi",4,1990,1242755,RAP,2010-10-20 11:15:16,
"BRCD 294, 862 721-2",Krash Man,Booty Mack,"4th & Broadway, Island Records","CD, Maxi",5,1993,1251858,RAP,2009-09-21 07:21:13,
"BRCD 333, 854 675-2",Alex Reece,Candles,"4th & Broadway, Island Records","CD, Single",4,1996,40978,NO RAP,2012-09-28 13:53:06,
"BRCD 344, 854 277-2",Alex Reece,Acid Lab,"4th & Broadway, Island Records","CD, Single",4,1996,40980,NO RAP,2012-09-28 13:53:38,
"BRCD 604, 524 123-2",Silent Eclipse,P$ychological £nslavement,"4th & Broadway, Island Records",CD,5,1995,740348,RAP,2013-10-28 08:13:35,
"IMCD127, 842 457-2",Stereo MC's,33-45-78,"4th & Broadway, Island Records","CD, Album",5,1989,1994562,NO RAP,2014-11-23 12:46:13,
36K 79009,Rahsun,I'll Be Around,550 Music,"CD, Single",5,1998,1885438,RAP,2013-04-27 07:28:15,
BSK 41134,RahSun,What?,550 Music,"CD, Single, Promo",5,1998,4137919,RAP,2013-05-21 03:41:36,
46K 78615,Jon B,Don't Say (The Remixes),"550 Music, Yab Yum Records, Epic Records Group","CD, Maxi",4,1997,1073619,NO RAP,2012-08-12 09:50:59,
58012-2,Glammerlicious,Laceration,58Beats,"CD, Album",4,2007,1441792,RAP,2017-11-19 02:59:09,de
5THU2014,Ed O.G,After All These Years,5th & Union,"CD, Album, Dig",4,2014,6089762,RAP,2015-11-12 05:13:38,
6HR004-2,Big Pooh,Sleepers,6 Hole Records,"CD, Album",5,2004,818928,RAP,2017-11-13 06:25:48,ny
none,KRS-One & Bumpy Knuckles,Royalty Check,6.8.2 Records,"CD, Album",5,2011,3428975,RAP,2012-07-02 05:13:55,
CDRE 012,Guru,Divine Rule,7 Grand Records,"CD, Single",5,2009,2067926,RAP,2014-07-24 02:50:32,
75008 CD,Encore,Self Preservation,75 Ark,"2xCD, Album",5,2000,144483,RAP,2009-08-20 00:00:00,
75020,Encore,Love & Hate (The Mellow Drama),75 Ark,"CD, Single",5,2000,1395659,RAP,2009-08-20 00:00:00,
75033,Deltron 3030,Deltron 3030,"75 Ark, Tommy Boy","CD, Album",5,2000,1620684,RAP,2015-10-04 07:06:44,
ASS-001,Cut Chemist,The Litmus Test,A Stable Sound,"CD, Mixed",5,2004,331007,RAP,2013-05-29 11:28:24,
31454 0070 2,Sting,Ten Summoner's Tales,A&M Records,"CD, Album",5,1993,446417,NO RAP,2012-04-04 03:06:16,
31454 0081 4/2,Intelligent Hoodlum,The Posse (Shoot 'Em Up),A&M Records,"CD, Single, Promo",5,1993,1224107,RAP,2009-08-20 00:00:00,
31454 0222 2,The Police,Live!,A&M Records,"2xCD, Album, Club",5,1995,2599229,NO RAP,2011-03-18 06:31:09,
396 700-2,Chuck Mangione,Children Of Sanchez,A&M Records,"2xCD, Album, RP",5,0,9290121,NO RAP,2017-11-11 12:43:03,
490 456 2,Carpenters,Singles 1969-1981,A&M Records,"CD, Comp, RM, RP",5,0,4594204,NO RAP,2013-05-29 09:40:36,
75021 3720 2,The Police,Zenyatta Mondatta,A&M Records,"CD, Album, RE, RM",5,1995,1661383,NO RAP,2013-05-02 05:42:25,
75021 3730 2,The Police,Ghost In The Machine,A&M Records,"CD, Album, Club, RM",5,1995,2582541,NO RAP,2013-05-02 05:42:27,
75021 5311 2,Intelligent Hoodlum,Intelligent Hoodlum,A&M Records,"CD, Album",5,1990,875349,RAP,2015-11-25 04:21:29,
75021 5341 2,Rappin' Is Fundamental,The Doo-Hop Legacy,A&M Records,"CD, Album",5,1991,1886782,RAP,2012-07-22 08:44:54,
75021 5389 2,Intelligent Hoodlum,Tragedy - Saga Of A Hoodlum,A&M Records,"CD, Album",5,1993,1605558,RAP,2012-08-23 12:31:24,
75021 7424 2,Intelligent Hoodlum,Back To Reality,A&M Records,"CD, Single, Promo",5,1990,1289232,RAP,2009-08-20 00:00:00,
AMCD 751,Rappin' Is Fundamental,Rapping Is Fundamental,A&M Records,"CD, Maxi",5,1991,315604,RAP,2012-10-27 08:02:35,
CD 3735,The Police,Synchronicity,A&M Records,"CD, Album",5,1983,895286,NO RAP,2013-05-02 05:42:32,
CD-3311,The Police,Outlandos d'Amour,A&M Records,"CD, Album, RE",5,0,1289615,NO RAP,2013-05-02 05:42:23,
"CD-3312, 7502133122",The Police,Reggatta De Blanc,"A&M Records, A&M Records","CD, Album, Club, RE",5,1995,1945846,NO RAP,2013-05-02 05:42:31,
ABB1038-2,Little Brother (3),The Listening,ABB Records,"CD, Album",5,2003,492617,RAP,2014-07-05 06:03:46,
ABB1054-2,Sound Providers,Looking Backwards: 2001-1998,ABB Records,"CD, Album, Comp",4,2005,903436,RAP,2015-02-05 04:11:46,
ABB1095-2,Little Brother (3),Getback,"ABB Records, All City Music, Hall Of Justus","CD, Album",4,2007,2211799,RAP,2013-08-21 02:34:19,
"ABB1072-LP, none",Surreal (6) & Sound Providers,True Indeed,"ABB Records, Quarternote Records","CD, Album + LP, Album",5,2006,1180075,RAP,2015-09-15 07:50:26,
ATC009CD,Nicole Willis & The Soul Investigators,Keep Reachin' Up,Above The Clouds,"CD, Album, RE",5,2007,1308794,NO RAP,2016-03-17 14:17:37,
ATC012CD,Nicole Willis & The Soul Investigators,Keep Reachin' Up Remixed,Above The Clouds,"CD, Album, Comp",5,2007,2143366,NO RAP,2016-03-17 14:17:28,
AC37CDJ,Matthew Herbert,Bodily Functions (Special 10th Anniversary Edition),Accidental,"2xCD, Album, RE, Gat",5,2011,3259546,NO RAP,2012-02-06 07:07:36,
AC40CD,Matthew Herbert,One One,Accidental,"CD, Album",4,2010,2230487,NO RAP,2015-11-18 14:37:26,
AJXCD 103,Akimbo,On Top,Acid Jazz,"CD, Album",5,1998,476588,NO RAP,2015-08-08 08:10:22,
JAZIDCD 83,Mother Earth,The People Tree,Acid Jazz,"CD, Album",5,1993,259105,NO RAP,2012-02-16 04:49:32,
JAZIDCD123,New Jersey Kings,Stratosphere Breakdown,Acid Jazz,"CD, Album",5,1995,36525,NO RAP,2016-08-15 09:23:25,
"JAZID CD115, JAZID CD 115",The James Taylor Quartet,In The Hand Of The Inevitable,"Acid Jazz, Acid Jazz","CD, Album",4,1995,59588,NO RAP,2012-09-05 12:00:21,
PCD-23782,Main Source,Breaking Atoms,"Actual Records, P-Vine Records","CD, Album, RE",3,2006,718269,RAP,2009-08-20 00:00:00,
ACR101,Roc Raida,"Beats, Cuts, Skits",AdiarCor Records,"CD, Mixed",5,2007,2145390,RAP,2014-05-10 03:01:38,
HATEIT1,The Game (2) Featuring 50 Cent,Hate It Or Love It ,Aftermath Entertainment,"CD, Single, Promo",5,2005,2009126,RAP,2012-07-10 10:16:18,
"069490571-2, 606949057121",Dr. Dre,2001 (Instrumentals Only),"Aftermath Entertainment, Interscope Records","CD, Album",5,1999,1408134,RAP,2009-08-20 00:00:00,
490 486-2,Dr. Dre,2001,"Aftermath Entertainment, Interscope Records","CD, Album",5,1999,422652,RAP,2009-08-20 00:00:00,
497 778-2,Truth Hurts Feat. Rakim,Addictive,"Aftermath Entertainment, Interscope Records","CD, Single, Enh",5,2002,791238,NO RAP,2009-08-20 00:00:00,
INTD-90044,Dr. Dre,Presents... The Aftermath,"Aftermath Entertainment, Interscope Records","CD, Comp",5,1996,226735,RAP,2009-08-20 00:00:00,
UICS-1305,Dr. Dre,Compton (A Soundtrack By Dr. Dre),"Aftermath Entertainment, Interscope Records","CD, Album",5,2015,7526304,RAP,2017-10-23 11:47:18,
"IND 95527, 606949552725",Dr. Dre,Been There Done That,"Aftermath Entertainment, Interscope Records, BMG","CD, Single",5,1997,1408124,RAP,2009-08-20 00:00:00,
IND 95516,Group Therapy,East Coast / West Coast Killas,"Aftermath Entertainment, Interscope Records, MCA Records","CD, Single",5,1996,516974,RAP,2009-08-20 00:00:00,
CD 10114,Sztywny Pal Azji,Europa I Azja,Agencja Artystyczna MTJ,"CD, Album, Enh",5,2000,1005339,NO RAP,2014-11-23 16:10:42,
CD 10758,Papa Dance,Papa Dance,Agencja Artystyczna MTJ,"CD, Album, RE, RM, CD-",5,2009,1772538,NO RAP,2013-02-22 07:34:56,
CD 10759,Papa Dance,Poniżej Krytyki,Agencja Artystyczna MTJ,"CD, Album, RE, RM, CD-",5,2009,1772563,NO RAP,2015-05-24 13:10:35,
"START 002, START 242",Trumpets & Drums,Buy & Die!,"Agencja Artystyczna START, Agencja Artystyczna START","CD, Album",4,1990,259171,NO RAP,2009-08-23 04:50:10,
SPE 002-2,Various,To Pejzaż Mojej Ziemi Beat Oratorio,"Agencja Artystyczno-Wydawnicza ""Spectrum""","CD, Album",5,1999,4873481,NO RAP,2013-09-02 04:02:12,
"034, AMCT-4459",Señor Coconut,El Baile Alemán,"Akashic Records, EastWest Japan",CD,5,2000,140688,NO RAP,2015-12-02 23:32:51,
ALB 72603-2,Fesu,Life Goes On,"Albatross Records, 3-Way Entertainment","CD, Album",5,1996,880417,RAP,2014-07-29 10:28:24,
ALCB-21,Technotronic,Pump Up The Jam,Alfa International,"CD, Album",5,1990,228369,NO RAP,2013-05-28 03:40:22,
ALCB-519,Laibach,Kapital,"Alfa, Mute","CD, Album",5,1992,807541,NO RAP,2017-08-29 08:48:30,
ED1439017344,Sav Killz,Immovable Kings,All Elements Music Group,"CDr, EP",4,2015,8226884,RAP,2016-09-18 09:34:22,
AGV 014 CD,Peanut Butter Wolf,Run The Line,All Good Vinyl,"CD, Single",5,1997,2544310,RAP,2011-04-26 07:08:06,
none,Raw Breed,Call Da Police,All Hearing,"CD, Album",,2002,3366516,RAP,2017-05-10 06:55:00,
ALPHACD1,Nitrogen (2),Intoxica,Alphaphone Recordings,"2xCD, Album",4,1997,82611,NO RAP,2009-10-17 03:13:22,
ALPHACD2,Sandoz,God Bless The Conspiracy,Alphaphone Recordings,"CD, Album",5,1997,53793,NO RAP,2009-10-17 03:16:57,
ALPHACD3,Dark Magus,Night Watchmen,Alphaphone Recordings,"CD, Album",5,1997,56292,NO RAP,2009-10-17 03:16:39,
ALPHACD4,Trafficante,Is This Now?,Alphaphone Recordings,"CD, Album",5,1998,82605,NO RAP,2009-10-17 03:20:15,
ALPHACD5,Al Jabr,One Million And Three,Alphaphone Recordings,"CD, Album",5,1999,53541,NO RAP,2012-05-10 06:41:54,
ALPHACD6,Electronic Eye,Neurometrik,Alphaphone Recordings,"CD, Album",5,2000,82614,NO RAP,2009-08-20 00:00:00,
ALPHACD7,Blacworld,Subduing Demons (In South Yorkshire),Alphaphone Recordings,"CD, Album",5,2000,59002,NO RAP,2009-10-17 03:13:10,
VIRUS  62/63CD,Nomeansno,The Day Everything Became Isolated And Destroyed,Alternative Tentacles,"CD, Album, Comp",5,1988,537263,NO RAP,2012-09-05 11:43:51,
VIRUS 123CD,Nomeansno,Why Do They Call Me Mr. Happy?,Alternative Tentacles,"CD, Album",5,1993,1396793,NO RAP,2012-08-26 11:50:28,
VIRUS 171CD,Nomeansno,The Worldhood Of The World (As Such),Alternative Tentacles,"CD, Album",5,1995,1396790,NO RAP,2014-05-27 14:23:50,
VIRUS 215CD,Nomeansno,Dance Of The Headless Bourgeoisie,Alternative Tentacles,"CD, Album",5,1998,383985,NO RAP,2013-05-13 03:09:21,
VIRUS 77CD,Nomeansno,Wrong,Alternative Tentacles,"CD, Album",5,1989,1085997,NO RAP,2012-08-26 11:47:21,
VIRUS 86CD,Nomeansno,Sex Mad / You Kill Me,Alternative Tentacles,"CD, Comp",5,1991,1588040,NO RAP,2012-08-26 11:45:32,
VIRUS 97CD,Nomeansno,Live And Cuddly,Alternative Tentacles,"CD, Album",5,1991,1596728,NO RAP,2012-06-28 10:36:21,
VIRUS 98CD,Nomeansno,0 + 2 = 1,Alternative Tentacles,"CD, Album",5,1991,466038,NO RAP,2012-08-26 11:49:22,
"VIRUS 85CD, VIRUS 85 CD",Jello Biafra With Nomeansno,The Sky Is Falling And I Want My Mommy,"Alternative Tentacles, Alternative Tentacles","CD, Album",5,1991,1083888,NO RAP,2010-10-20 11:18:14,
"582 229-2, AM:PM",Sounds Of Blackness Featuring Craig Mack,Spirit,"AM:PM, A&M Records, Island Records","CD, Maxi",4,1997,3331803,NO RAP,2012-08-12 08:00:18,
ADIG09018-CD,Tash,Control Freek,Amalgam Digital,"CD, Album",5,2009,2156463,RAP,2016-05-16 07:59:22,nyc
ADIG09018-CD,Tash,Control Freek,Amalgam Digital,"CD, Album",5,2009,2156463,RAP,2017-11-13 07:08:31,nyc
AMAL 08003,Kurious,II,Amalgam Digital,"CD, Album",5,2009,1832603,RAP,2014-01-29 10:44:46,
AMAL0701-CD,Kurious,A Constipated Monkey,"Amalgam Digital, Amalgam Entertainment","CD, Album, RE",5,2007,1088893,RAP,2013-02-03 23:10:43,
74321 27966 2,Lordz Of Brooklyn,All In The Family,American Recordings,"CD, Album",5,1995,1191482,RAP,2013-10-21 03:45:34,
74321 29070 2,Lordz Of Brooklyn,Saturday Nite Fever,American Recordings,"CD, Maxi",4,1995,790051,RAP,2012-07-10 11:22:21,
9 43038-2,Chino XL,Here To Save You All,American Recordings,"CD, Album",5,1996,902074,RAP,2014-06-28 23:57:52,
9 43064-2,Kwest Tha Madd Lad,This Is My First Album,American Recordings,"CD, Album",5,1996,2274718,RAP,2015-10-25 13:53:19,
9 43712-2,Chino XL,Kreep,American Recordings,"CD, Maxi",5,1996,1246178,RAP,2017-11-18 09:32:16,
AMCD129,Kwest Tha Madd Lad,101 Things To Do While I'm With Your Girl / Lubrication,American Recordings,"CD, Single, Dig",4,1994,1856113,RAP,2009-08-26 12:36:18,
"9 41865-2, 0218",The Nonce,Mix Tapes / Keep It On,"American Recordings, Wild West Records","CD, Maxi",4,1994,801646,RAP,2012-04-04 02:53:25,
Cd1003,Dj Aladdin Presents Low Profile,Low Profile's Greatest Hits,Ammo Dump Records,"CDr, Comp",4,2010,3118851,RAP,2012-02-08 03:06:52,
ANNCD1,Winona,Rosebud,Annalog Records,"CD, Album",5,2008,1347633,NO RAP,2014-11-20 05:08:50,
TRCP-15,Galactic,From The Corner To The Block,Anti-,"CD, Album",5,2008,2120041,NO RAP,2010-02-02 05:51:08,
ABR0063CD,Darc Mind,Symptomatic Of A Greater Ill,Anticon,"CD, Album",5,2006,1369095,RAP,2016-10-21 03:29:23,
ANTCD102,Madlib,Blunted In The Bomb Shelter Mix,Antidote,"CD, Comp, Mixed",,2002,356088,NO RAP,2011-02-09 08:52:14,
ANTCD105,Steinski,Steinski's Burning Out Of Control - The Sugarhill Mix,Antidote,"CD, Comp, Mixed",5,2003,193470,RAP,2013-05-29 11:28:43,
PHCR-1542,Courtney Pine,Underground,Antilles,"CD, Album",4,1997,10057668,NO RAP,2017-11-12 13:21:09,
529 028-2,Courtney Pine,Modern Day Jazz Stories,"Antilles, The Verve Music Group","CD, Album, RE",5,0,6599002,NO RAP,2016-05-08 14:56:33,
31454 0963 2,Kurupt,Kuruption!,"ANTRA Records, A&M Records","2xCD, Album",5,1998,226773,RAP,2013-09-25 08:43:36,
ORACD 11,Subsurfing,The Number Readers,AO Records,"CD, Single",5,1994,3448,NO RAP,2017-03-07 03:56:11,
AMB 3927 CD,Biosphere,Patashnik,Apollo,"CD, Album",5,1994,2810706,NO RAP,2015-09-06 05:52:58,
AMB 8951CD,Thomas Fehlmann,Good Fridge. Flowing: Ninezeronineight.,Apollo,"CD, Album",5,1998,38725,NO RAP,2014-11-23 16:09:34,
AMB 9956 CD,Thomas Fehlmann,One To Three. Overflow; Ninenine/nd,Apollo,CD,5,2000,38728,NO RAP,2014-11-23 16:09:17,
AMBCD 3921,Biosphere,Microgravity,Apollo,"CD, Album, RP",5,0,3059496,NO RAP,2015-09-06 05:51:01,
Apollo 20 CD,Biosphere,Novelty Waves,Apollo,"CD, Single",5,1995,28727,NO RAP,2009-08-20 00:00:00,
Apollo 20 CD X,Biosphere,Novelty Waves,Apollo,"CD, Single",5,1995,28728,NO RAP,2017-03-07 03:56:11,
APR 062 CD,Universal Funk,Re:Done,April Records,"CD, Album",5,2003,358681,NO RAP,2014-03-05 23:14:23,
APR057CD,Universal Funk,One,April Records,"CD, Album",5,2001,427583,NO RAP,2013-06-07 03:49:41,
"APR 002CD, apr 002cd",Underworld,Dark & Long,"April Records, April Records","CD, EP, RP",5,1996,3682157,NO RAP,2016-12-13 03:51:16,
AENT-005,Various,Architects: Vol.II The Saga Continues...,Architects Entertainment,"CD, Comp",5,1998,7964012,RAP,2016-01-11 10:12:48,
74321 130952,King Bee,Here We Go Again,Ariola,"CD, Maxi",5,1993,3283242,RAP,2013-06-25 01:03:03,
74321 94146 2,Modern Talking,The Golden Years,Ariola Express,"3xCD, Comp + Box",5,2002,1900369,NO RAP,2012-03-27 03:03:49,
07822-12366-2,The KLF,What Time Is Love?,Arista,"CD, Maxi",5,1991,140173,NO RAP,2009-08-20 00:00:00,
07822-16406-2,Run-DMC,Run-D.M.C.,Arista,"CD, Album, RE",5,1999,178892,RAP,2015-11-13 14:45:44,
07822-164269,Run-DMC,Together Forever (Greatest Hits 1983 - 2000),Arista,"DVD, Comp",5,2000,3311866,RAP,2017-08-28 09:00:10,
74321 68255 2,Naughty By Nature,Jamboree,Arista,"CD, Maxi",5,1999,1343065,RAP,2010-04-10 02:52:22,
74321 73094 2,Naughty By Nature,Holiday,Arista,"CD, Single",5,1999,2224964,RAP,2010-04-10 02:51:35,
74321-55574-2,Mase Featuring Total,What You Want,Arista,"CD, Maxi",4,1998,1349794,RAP,2012-09-09 13:09:36,
74321-91564-2,Angie Stone Feat. Alicia Keys & Eve (2),Brotha Part II,Arista,"CD, Maxi",5,2002,4002556,NO RAP,2012-11-04 11:57:56,
7432124258 2,Craig Mack,Flava In Ya Ear,Arista,"CD, Maxi",5,1994,1079809,RAP,2010-04-11 11:15:45,
82876 60014 2,Usher Featuring Lil' Jon & Ludacris,Yeah!,Arista,"CD, Single",5,2004,2072712,NO RAP,2012-08-04 13:56:23,
ARCD-8571,Three Times Dope,Original Stylin',Arista,"CD, Album",5,1988,185595,RAP,2014-06-02 04:14:46,
ARCD-8592,Milli Vanilli,Girl You Know It's True,Arista,"CD, Album, -4 ",5,1989,472979,NO RAP,2013-07-20 17:19:56,
ASCD-2104,Three Times Dope,No Words,Arista,"CD, Single, Promo",4,1990,1310238,RAP,2012-07-07 03:33:28,
ASCD-3532,Brand Nubian,The Return / Brand Nubian,Arista,"CD, Promo",5,1998,3107443,RAP,2013-10-18 02:22:23,
ASCD-3607,Run-DMC,Christmas In Hollis,Arista,"CD, Single, Promo, Ltd",5,1998,4018237,RAP,2014-07-01 15:14:09,
07822-12847-2,D&D All-Stars / Big C (3),"1, 2 Pass It / Look Alive",Arista Street,"CD, Single",5,1995,1866590,RAP,2009-08-20 00:00:00,
"82876 53401 2, 82876534012",Blu Cantrell,Breathe,"Arista, Arista","CD, Maxi",5,2003,560529,NO RAP,2012-11-04 11:52:44,
74321947812,Run-DMC,High Profile: The Original Rhymes,"Arista, BMG, Ariola, Profile Records","CD, Comp, RM",5,2002,768027,RAP,2009-08-20 00:00:00,
ARKA CD 22120,Muslimgauze / Suns Of Arqa,The Suns Of Arqa Mixes,Arka Sound,"CD, Album",4,2001,251467,NO RAP,2015-10-11 01:35:51,
AMS 0013R,Armia,Legenda,Ars Mundi,"CD, Album, RE",5,1999,2689805,NO RAP,2012-02-11 06:29:48,
"ARS 0012, 571 060-2",Rocca (3),Les Jeunes De L'Univers,"Arsenal Records, Barclay","CD, Maxi",5,1997,2248031,RAP,2014-04-03 04:32:45,
AC-012,Tilt (4),Czad Kommando Tilt,Arston,"Cass, Album",5,1990,3773283,NO RAP,2013-04-20 12:35:22,
ACD-005,Apteka,Big Noise,Arston,"CD, Album",5,1990,1408811,NO RAP,2009-08-20 00:00:00,
ALP-047,Tilt (4),Czad Kommando Tilt,Arston,"LP, Album",5,1990,856616,NO RAP,2013-04-20 12:37:00,
ALP-075,Kazik Staszewski,Spalam Się,Arston,"LP, Album",5,1991,953187,RAP,2012-06-11 07:51:58,
"ASC022, MODCD046, RA45006",LUV NY,LUV NY,"Ascetic Music, Module, Red Apples 45","CD, Album",5,2012,4245350,RAP,2014-01-21 11:28:49,
